Name,Latitude,Longitude
Korab,41.79111111111111,23.547777777777778
Jezerca,42.44166666666666,19.8125
Gryka e Hapët,42.408699999999996,19.9046
Radohima,42.42722222222222,19.72583333333333
Maja e Kollatës,42.48361111111111,19.909444444444443
Kollata e Keqe,42.485,19.897222222222222
Maja Rosit,42.47944444444445,19.850555555555555
Gramos,40.333333333333336,20.75
Gjallica,42.01166666666666,20.46972222222222
Nemërçkë,40.12416666666667,20.4325
Tomorr,40.7,20.133333333333333
Shkëlzen,42.456944444444446,20.128055555555555
Maja e Thatë,42.468333333333334,19.86888888888889
Bogiçaj,42.550555555555555,20.08833333333333
Koritnik,42.083333333333336,20.566666666666666
Ostrovicë,40.580000000000005,20.45
Deshat,41.63,20.540000000000003
Valamara,40.79388888888889,20.46527777777778
Tromedja,42.55583333333333,20.078888888888887
Mali i Gramës,41.73111111111111,20.493333333333336
Mali i Thatë,40.88333333333333,20.833333333333332
Shebenik,41.216944444444444,20.462777777777777
Jabllanica,41.285494444444446,20.52881111111111
Dejë,41.703611111111115,20.15888888888889
Arapi,42.44583333333333,19.75583333333333
Kallabaku,41.91611111111111,20.566111111111113
Lunxhëria,40.13944444444444,20.24277777777778
Kunora e Lurës,41.784166666666664,20.18166666666667
Miceku,41.56916666666667,20.18777777777778
Dhëmbel,40.1932,20.3142
Çika,40.2,19.616666666666667
Mali i Lopës,41.465833333333336,20.240833333333335
Munella,42.21055555555556,20.523333333333333
Pashtrik,42.21055555555556,20.523333333333333
Dajti,41.365833333333335,19.925555555555558
Maranaj,42.19166666666666,19.59722222222222
Shpirag,40.6675,19.865833333333335
